
complexo,Local,TAG,Sistema,Modelo,PQS_Rec_Total,PQS_Inst_Total,Liq_Rec_Total,Liq_Inst_Total,Computed_Status,layout_sensores_cabo,layout_bicos_mangueiras,layout_painel_cabine,nota_prioridade_quantitativa,nota_prioridade_qualitativa,status_final_excel,nota_quantitativa,nota_qualitativa,status_final,report_id
itabira,CONCEIÇÃO,PF1142,AFEX,CAT MD6420,0,125,0,15,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,151519
itabira,CAUÊ,CA65931,AFEX,CAT 793D,0,120,0,0,CONFORME,2.5,4.0,2.5,,,,3.0,,3.0,149114
Paraoupeba,Fábrica,CA53119,AFEX,CAT 777G,0,90,0,0,CONFORME,4.0,4.0,5.0,,,,4.333333333333333,,4.333333333333333,152083
itabira,CONCEIÇÃO,PF1145,AFEX,CAT MD6310,0,125,0,15,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149230
itabira,CONCEIÇÃO,MA0105,AFEX,CAT 988H,0,60,0,0,CONFORME,2.5,2.5,4.0,,,,3.0,,3.0,149231
itabira,CAUÊ,CA65789,AFEX,CAT 793D,0,120,0,15,CONFORME,2.5,2.5,2.5,,,,2.5,,2.5,149398
itabira,CONCEIÇÃO,PM4164,AFEX,CAT 988H,0,60,0,0,CONFORME,2.5,4.0,4.0,,,,3.5,,3.5,149232
itabira,CAUÊ,CA70965,AFEX,CAT 793F,0,120,0,10,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149423
itabira,CAUÊ,TT03,AFEX,CAT 793C,0,120,0,0,CONFORME,2.5,4.0,4.0,,,,3.5,,3.5,149424
itabira,CONCEIÇÃO,MN1208,AFEX,XCMG GR3505,0,60,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149522
itabira,CONCEIÇÃO,MN1206,AFEX,XCMG GR3505,0,60,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149523
itabira,CONCEIÇÃO,TE2304,AFEX,Komatsu D475A-8R,0,90,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149524
itabira,CONCEIÇÃO,MN1204,AFEX,XCMG GR3505,0,60,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149763
Paraoupeba,Fábrica,CA5314,AFEX,CAT 777G,0,90,0,0,CONFORME,3.0,3.0,5.0,,,,3.6666666666666665,,3.6666666666666665,152048
itabira,CONCEIÇÃO,PM4162,AFEX,CAT 988H,0,60,0,0,CONFORME,2.5,4.0,2.5,,,,3.0,,3.0,149766
itabira,CONCEIÇÃO,TE4163,AFEX,CAT D10T2 ,0,60,0,5,CONFORME,2.5,4.0,4.0,,,,3.5,,3.5,149884
itabira,CAUÊ,CA65924,AFEX,CAT 793D,0,120,0,0,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149888
itabira,CAUÊ,CE57822,AFEX,Komatsu 830E,0,120,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149908
itabira,CONCEIÇÃO,PM4163,AFEX,CAT 988H,0,60,0,0,CONFORME,2.5,2.5,4.0,,,,3.0,,3.0,149941
itabira,CONCEIÇÃO,PF1111,AFEX,CAT MD6420,0,90,0,15,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,149929
itabira,CAUÊ,CE57831,AFEX,Komatsu 830E,0,120,0,10,CONFORME,3.0,4.0,4.0,,,,3.6666666666666665,,3.6666666666666665,149942
itabira,CAUÊ,CA6001,AFEX,CAT 793F,0,120,0,0,CONFORME,3.0,4.0,3.5,,,,3.5,,3.5,150350
itabira,CAUÊ,CA70956,AFEX,CAT 793F,0,120,0,10,CONFORME,3.0,3.5,3.5,,,,3.333333333333333,,3.333333333333333,149946
itabira,CONCEIÇÃO,PM6224,AFEX,CAT 988H,0,60,0,0,CONFORME,2.0,3.5,4.0,,,,3.1666666666666665,,3.1666666666666665,150071
itabira,CONCEIÇÃO,MN1166,AFEX,CAT 16M,0,60,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,150077
itabira,CAUÊ,CA70952,AFEX,CAT 793F,0,120,0,10,CONFORME,2.5,3.5,3.5,,,,3.1666666666666665,,3.1666666666666665,150461
itabira,CONCEIÇÃO,MN1169,AFEX,CAT 16M,0,60,0,5,CONFORME,4.5,4.5,4.5,,,,4.5,,4.5,150615
itabira,CONCEIÇÃO,TE4709,KIDDE,CAT D5,0,25,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,150680
itabira,CONCEIÇÃO,PM6242,AFEX,CAT 988K,0,90,0,5,CONFORME,3.0,4.0,3.5,,,,3.5,,3.5,151088
itabira,CONCEIÇÃO,RC1710,AFEX,SANSSR200C-8H,0,30,0,0,CONFORME,5.0,5.0,5.0,,,,5.0,,5.0,150608
itabira,CAUÊ,CA70955,AFEX,CAT 793F,0,120,0,10,CONFORME,3.0,3.0,3.5,,,,3.1666666666666665,,3.1666666666666665,151295
itabira,CONCEIÇÃO,PF6752,AFEX,PV-275,0,125,0,15,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,150679
itabira,CONCEIÇÃO,MN1207,AFEX,XCMG GR3505,0,60,0,5,CONFORME,4.0,4.0,4.0,,,,4.0,,4.0,151411
itabira,CAUÊ,CA65921,AFEX,CAT 793D,0,120,0,0,CONFORME,3.5,4.0,3.5,,,,3.6666666666666665,,3.6666666666666665,151582
